bus_id,decision_interval,step_sequence,logical_node,action,horizon_status,location,arrival_time,pax_exchange,passenger_load
17,60,6,23,Dropoff,Planned,8587255,83.76,-6,6
17,60,7,83,End,Planned,0,84.0,0,0
18,0,0,42,Start,Executed,8589131,0.0,0,0
18,0,1,6,Pickup,Executed,8588344,4.28,2,0
18,0,2,18,Dropoff,Planned,8588858,17.02,-2,2
18,0,3,64,End,Planned,0,18.0,0,0
18,10,0,56,Start,Executed,8588344,0.0,0,1
18,10,1,14,Pickup,Executed,8588344,14.02,2,1
18,10,2,33,Dropoff,Planned,8588858,23.0,-2,3
18,10,3,78,End,Planned,0,24.0,0,1
18,20,0,58,Start,Executed,8588344,0.0,0,0
18,20,1,17,Pickup,Executed,8588344,8.0,2,0
18,20,2,37,Dropoff,Executed,8588858,18.32,-2,2
18,20,3,8,Pickup,Executed,8589154,19.26,2,0
18,20,4,7,Pickup,Executed,8577741,26.32,5,2
18,20,5,27,Dropoff,Planned,8592377,35.57,-5,7
18,20,6,28,Dropoff,Planned,8592375,39.28,-2,2
18,20,7,80,End,Planned,0,40.0,0,0
18,30,0,52,Start,Executed,8577741,0.0,0,0
18,30,1,13,Pickup,Executed,8577741,27.18,5,0
18,30,2,14,Pickup,Executed,8577741,27.18,2,5
18,30,3,31,Dropoff,Executed,8592375,37.0,-2,7
18,30,4,4,Pickup,Executed,8592377,39.76,4,5
18,30,5,30,Dropoff,Executed,8592377,39.8,-5,9
18,30,6,21,Dropoff,Planned,8589154,53.63,-4,4
18,30,7,74,End,Planned,0,54.0,0,0
18,40,0,54,Start,Executed,8592377,0.0,0,0
18,40,1,15,Pickup,Executed,8592377,43.14,4,0
18,40,2,33,Dropoff,Planned,8589154,53.42,-4,4
18,40,3,76,End,Planned,0,54.0,0,0
18,50,0,56,Start,Executed,8592377,0.0,0,0
18,50,1,18,Pickup,Executed,8592377,38.0,4,0
18,50,2,37,Dropoff,Executed,8589154,48.28,-4,4
18,50,3,3,Pickup,Executed,8589154,60.0,4,0
18,50,4,5,Pickup,Planned,8577741,61.34,3,4
18,50,5,22,Dropoff,Planned,8504622,75.74,-4,7
18,50,6,24,Dropoff,Planned,8589152,77.26,-3,3
18,50,7,78,End,Planned,0,78.0,0,0
18,60,0,62,Start,Executed,8589154,0.0,0,5
18,60,1,14,Pickup,Executed,8589154,63.74,4,5
18,60,2,15,Pickup,Executed,8577741,65.07,3,9
18,60,3,36,Dropoff,Planned,8504622,79.74,-4,12
18,60,4,37,Dropoff,Planned,8589152,81.22,-3,8
18,60,5,84,End,Planned,0,82.0,0,5
19,0,0,43,Start,Executed,8587255,0.0,0,0
19,0,1,10,Pickup,Executed,8588858,9.31,7,0
19,0,2,2,Pickup,Executed,8588858,9.35,4,7
19,0,3,14,Dropoff,Planned,8577820,16.04,-4,11
19,0,4,22,Dropoff,Planned,8589141,29.97,-7,7
19,0,5,65,End,Planned,0,31.0,0,0
19,10,0,57,Start,Executed,8588858,0.0,0,0
19,10,1,10,Pickup,Executed,8588858,9.0,4,0
19,10,2,17,Pickup,Executed,8588858,9.0,7,4
19,10,3,29,Dropoff,Executed,8577820,15.65,-4,11
19,10,4,7,Pickup,Executed,8587238,18.51,1,7
19,10,5,26,Dropoff,Planned,8589141,29.43,-1,8
19,10,6,36,Dropoff,Planned,8589141,29.46,-7,7
19,10,7,79,End,Planned,0,30.0,0,0
19,20,0,59,Start,Executed,8587238,0.0,0,0
19,20,1,16,Pickup,Executed,8587238,18.0,1,0
19,20,2,19,Pickup,Executed,8587238,18.0,7,1
19,20,3,39,Dropoff,Executed,8589141,29.13,-7,8
19,20,4,36,Dropoff,Executed,8589141,29.17,-1,1
19,20,5,81,End,Planned,0,30.0,0,0
19,30,0,53,Start,Executed,8589141,0.0,0,0
19,30,1,75,End,Planned,0,345.0,0,0
19,40,0,55,Start,Executed,8589141,0.0,0,0
19,40,1,3,Pickup,Executed,8587356,48.25,4,0
19,40,2,9,Pickup,Planned,8589138,50.84,8,4
19,40,3,21,Dropoff,Planned,8592378,63.4,-4,12
19,40,4,27,Dropoff,Planned,8592378,67.8,-8,8
19,40,5,77,End,Planned,0,68.0,0,0
19,50,0,57,Start,Executed,8587356,0.0,0,0
19,50,1,9,Pickup,Executed,8587356,46.45,4,0
19,50,2,15,Pickup,Executed,8589138,49.0,8,4
19,50,3,28,Dropoff,Planned,8592378,61.53,-4,12
19,50,4,34,Dropoff,Planned,8592378,61.57,-8,8
19,50,5,79,End,Planned,0,62.0,0,0
19,60,0,63,Start,Executed,8589138,0.0,0,0
19,60,1,17,Pickup,Executed,8589138,45.0,4,0
19,60,2,21,Pickup,Executed,8589138,49.0,8,4
