time,event_type,description
14896.0,PASSENGERS_ABANDONED,1 passengers abandoned due to timeout
14910.0,PASSENGERS_ABANDONED,1 passengers abandoned due to timeout
14914.0,BUS_ROUTE_COMPLETED,"BUS_6_DIR4_T66441.0 completed route, served 59 passengers"
14920.641663862221,PASSENGERS_ABANDONED,1 passengers abandoned due to timeout
14952.0,BUS_ROUTE_COMPLETED,"BUS_2_DIR4_T62709.0 completed route, served 43 passengers"
14952.0,PASSENGERS_ABANDONED,1 passengers abandoned due to timeout
14984.72986502325,PASSENGERS_ABANDONED,1 passengers abandoned due to timeout
15011.0,BUS_ROUTE_COMPLETED,"BUS_6_DIR5_T66438.0 completed route, served 55 passengers"
15024.993836098527,PASSENGERS_ABANDONED,2 passengers abandoned due to timeout
15028.782489855437,PASSENGERS_ABANDONED,1 passengers abandoned due to timeout
15043.685859090287,PASSENGERS_ABANDONED,1 passengers abandoned due to timeout
15074.57567029769,PASSENGERS_ABANDONED,1 passengers abandoned due to timeout
15078.0,PASSENGERS_ABANDONED,1 passengers abandoned due to timeout
15081.106882385733,PASSENGERS_ABANDONED,1 passengers abandoned due to timeout
15223.974864425963,PASSENGERS_ABANDONED,1 passengers abandoned due to timeout
15239.941379743417,PASSENGERS_ABANDONED,1 passengers abandoned due to timeout
15426.0,BUS_ROUTE_COMPLETED,"BUS_8_DIR4_T68114.0 completed route, served 20 passengers"
15434.0,PASSENGERS_ABANDONED,1 passengers abandoned due to timeout
15457.804739660065,PASSENGERS_ABANDONED,1 passengers abandoned due to timeout
15476.118348468319,PASSENGERS_ABANDONED,1 passengers abandoned due to timeout
15509.774659716948,PASSENGERS_ABANDONED,2 passengers abandoned due to timeout
15540.0,PASSENGERS_ABANDONED,1 passengers abandoned due to timeout
15555.294839951855,PASSENGERS_ABANDONED,1 passengers abandoned due to timeout
15564.0,PASSENGERS_ABANDONED,1 passengers abandoned due to timeout
15589.423985349613,PASSENGERS_ABANDONED,1 passengers abandoned due to timeout
15609.999625682705,PASSENGERS_ABANDONED,2 passengers abandoned due to timeout
15611.0,BUS_ROUTE_COMPLETED,"BUS_6_DIR4_T66449.0 completed route, served 31 passengers"
15626.0,PASSENGERS_ABANDONED,1 passengers abandoned due to timeout
15659.752475354524,PASSENGERS_ABANDONED,1 passengers abandoned due to timeout
15661.0,BUS_ROUTE_COMPLETED,"BUS_2_DIR3_T62690.0 completed route, served 58 passengers"
15710.0,BUS_ROUTE_COMPLETED,"BUS_8_DIR1_T68113.0 completed route, served 9 passengers"
15779.177761839108,PASSENGERS_ABANDONED,1 passengers abandoned due to timeout
15846.0,BUS_ROUTE_COMPLETED,"BUS_6_DIR5_T66446.0 completed route, served 28 passengers"
15858.302179619588,PASSENGERS_ABANDONED,1 passengers abandoned due to timeout
15994.479542269415,PASSENGERS_ABANDONED,1 passengers abandoned due to timeout
16301.0,BUS_ROUTE_COMPLETED,"BUS_2_DIR3_T62702.0 completed route, served 26 passengers"
16366.207929927707,PASSENGERS_ABANDONED,1 passengers abandoned due to timeout
